label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91
ADIOS,0.11211317814315439,0.07563943663460505,0.06324041469584189,0.06856865617304102,0.28346007429732106,2.0075876535934554,1.7412219553710258,1.6049750796878224,1.78548840389407,0,0,0,0,0,0,0,0,0,0.03743356217212659,0.029985740375936078,0.020703270974004942,0.03385850047186006,0.09156955439039277,0.7858057056254045,0.9783562353570159,1.1347850430204525,0.9441010149045734,0,0,0,0,0,0,0,0,0,0.05575184962007006,0.03801751952038134,0.03485377177773058,0.027357121279903144,0.16086852752317804,1.0484723057206884,0.620789353892235,0.42607210784181887,0.6893480276914077,0,0,0,0,0,0,0,0,0,0.18521087973516437,0.16651811198039074,0.15259744373400025,0.1299143327635826,0.435176767036202,3.061569296983626,3.0746299822798377,3.1137389444921326,3.0640745262721034,0,0,0,0,0,0,0,0,0,0.011480704829951402,0.011709583535393822,0.007615242700232193,0.011398973430115216,0.026213032098042297,0.25271219404841844,0.2989807202610476,0.33122271926895935,0.27743424061169525,0,0,0,0,0,0,0,0,0,0.8615384615384616
ADIOS,0.09959466265807579,0.06981183480511642,0.06247265330362616,0.0651657821184402,0.2673662729404235,1.8955648968720316,1.6152783251813387,1.4867144045862069,1.6337265955526117,0,0,0,0,0,0,0,0,0,0.020415589613973554,0.027912054800768006,0.01242616802957649,0.026792495559901278,0.060596549934185,0.7335738519362394,0.9555287518001816,1.1226330411638743,0.9373548407971283,0,0,0,0,0,0,0,0,0,0.057555531411821265,0.0388867809598511,0.04226233806320264,0.0293794594009233,0.18755006233544352,1.1579856495563106,0.6206744968701198,0.39641734117495553,0.6995096416512565,0,0,0,0,0,0,0,0,0,0.14598409336049517,0.1754919900011228,0.09647212659325993,0.13083778509877156,0.404221730838053,3.0276161056015054,2.999107712783189,3.1338489085032646,3.013228419817294,0,0,0,0,0,0,0,0,0,0.00873389643784321,0.011413524980064335,0.006252855175943291,0.010194011576843862,0.020860260931599577,0.2274119792836928,0.2767592647633527,0.32471094463122,0.2624166708625844,0,0,0,0,0,0,0,0,0,0.8769230769230769
ADIOS,0.1454858080517324,0.08462506967370227,0.07411744668100721,0.08727982131033515,0.34880265888882606,2.115186375716489,1.9046979375408426,1.784798828435156,1.8654337189215533,0,0,0,0,0,0,0,0,0,0.07200816171392826,0.031192989922883742,0.021133355631559426,0.041949698750513346,0.13038917144677023,0.756671992065376,0.9794271185846547,1.113673367038445,0.93655416069534,0,0,0,0,0,0,0,0,0,0.04583809718279578,0.034621436595250334,0.03485421714136335,0.03228919742828139,0.1857564878272998,1.086177580831338,0.6584797963845076,0.447816847636329,0.6644348299997442,0,0,0,0,0,0,0,0,0,0.2598472278717206,0.14633974582218862,0.14297109484006384,0.1547233985413803,0.5444748556875069,3.025908873484049,3.063754392861664,3.1218990594257616,3.035365144667767,0,0,0,0,0,0,0,0,0,0.020204164652609543,0.013972247081921498,0.010927076938212084,0.01548978015204357,0.034599519538946376,0.23716271980764936,0.3126953853931691,0.34337219789268736,0.30700816801196923,0,0,0,0,0,0,0,0,0,0.7846153846153846
ADIOS,0.09404947536734194,0.054145371792496885,0.06054570761191484,0.0690490632921597,0.1866933682994356,2.1486178960541618,2.0521636932787977,1.9083679838677792,1.9016825164591753,0,0,0,0,0,0,0,0,0,0.047519730263806396,0.014804487419406527,0.018754233799052437,0.03252219934095225,0.06882822222775811,0.8553829864036817,0.9670968264075764,1.224416881444299,1.1136935055935147,0,0,0,0,0,0,0,0,0,0.01511525432220676,0.031746122382755995,0.03438234162476218,0.03113878742455452,0.08978073545609982,1.0278431057300628,0.780813504730705,0.27515921817849864,0.45505600483759284,0,0,0,0,0,0,0,0,0,0.2024363723129725,0.10012228653520143,0.11201215554595971,0.12776601020530942,0.38537972375891694,3.0250697084492506,2.9759082121543914,3.0913337548801554,3.048269267231833,0,0,0,0,0,0,0,0,0,0.013781823305297668,0.005359884064427267,0.007801554722681719,0.008314221246021327,0.017142721956100844,0.17798158741667464,0.2119742238606592,0.2745650705167487,0.2454285013602067,0,0,0,0,0,0,0,0,0,0.8615384615384616
ADIOS,0.10089552483829121,0.06097864462077076,0.06137459331082423,0.07356451242156781,0.16940960969560584,2.3847228216619833,2.2213997474296523,2.164014494513944,2.1775966607872075,0,0,0,0,0,0,0,0,0,0.045918835081714376,0.01673949209769379,0.01678844371209321,0.03393284985783785,0.06852001237593043,0.8424133153595114,0.971497924012043,1.1606981933990892,1.0065394766832978,0,0,0,0,0,0,0,0,0,0.020517542576759026,0.03488315940869022,0.03842394335063994,0.026631943610543298,0.051673542878704806,1.047760979482264,0.8258712123643785,0.47234837211701947,0.6573981719472765,0,0,0,0,0,0,0,0,0,0.16563347398019035,0.10829727572532243,0.10945332947438398,0.12246271826909026,0.3440531795475694,3.074679511663592,3.012866205036363,3.098912752179052,3.017943306639789,0,0,0,0,0,0,0,0,0,0.011079377384124353,0.008269973511798577,0.005582270252293495,0.008294909856522198,0.018194010281589096,0.17184630198590242,0.1893386510756135,0.24273847411113617,0.22389612295859618,0,0,0,0,0,0,0,0,0,0.7538461538461538
ADIOS,0.08043822569782483,0.05558444956874341,0.05812482989658254,0.06379250341428952,0.1653832904681536,2.167126735865246,2.046750769750755,1.9059393426521434,1.8488900294735873,0,0,0,0,0,0,0,0,0,0.036931933981558564,0.0163490643933898,0.019322800937462206,0.029614280388406806,0.05526837490501429,0.8314933124102448,0.9723958781054667,1.2166819651092302,1.1413604346352917,0,0,0,0,0,0,0,0,0,0.012411893413290201,0.021972681119564005,0.03456418908128794,0.030481515669037573,0.0865589925352869,1.0417152041294127,0.6847940486859354,0.23930507965815573,0.2801013178124649,0,0,0,0,0,0,0,0,0,0.17023904911167984,0.10736641040167144,0.11233212832710845,0.1260838441583432,0.33185959780166324,3.1201573691022064,3.0160557615614767,3.103148320140924,3.067583995543048,0,0,0,0,0,0,0,0,0,0.012625689380642001,0.006728750732042305,0.00540707036090282,0.006955900552700528,0.01775616279372571,0.1964841025913723,0.2498667204181863,0.30904832408979716,0.2888764688011994,0,0,0,0,0,0,0,0,0,0.9384615384615385
ALGUNA_PREGUNTA,0.13405665313606555,0.1670233093665344,0.0531678066163019,0.03802651081814265,0.15492600301847717,2.846283195065482,1.590279456295055,1.1787227566536536,1.2199322800500139,0.07378530981730262,0.07267218631996362,0.02066651503746593,0.012315124059178086,0.058663276660872246,1.3853011106948872,0.954005320626289,0.780006046771832,0.8354611284372827,0.038828286875168004,0.04571051214969078,0.01493526812132915,0.014830451230400872,0.050623491889378744,0.4154523107004354,0.6256482006242795,0.5840452111538624,0.6469021345681827,0.08110641420102901,0.08528978782243091,0.02100865169353031,0.014561891760872848,0.05848390507965761,1.369608316839605,0.97948041432705,0.8352457131776041,0.8815114242008185,0.02229528900605055,0.030157957739935605,0.02825760956968712,0.014368263000827414,0.09390345861735883,0.8570126806063995,0.4545217131375559,0.14015449649198633,0.16084210503499438,0,0,0,0,0,0,0,0,0,0.20256558819569834,0.27976422159525055,0.10081327476294452,0.08753491059740394,0.29449864387314895,3.133135876290114,3.036758575151874,2.9542436043067397,2.8478994459104894,0.21996625928480343,0.22384691413766966,0.06984803722054994,0.07321058641539077,0.15535344892034914,3.092989686053921,2.946728828583587,2.8901911686732302,2.8653080097364083,0.024161419334673855,0.03354416264909313,0.008831227869340715,0.0059255936735354555,0.019060313418039307,0.27426342089715544,0.30567079237276296,0.2877544989545772,0.3037673867534873,0.023802822584705587,0.025548516516302383,0.005888855177232668,0.005248845739061912,0.012573212390963982,0.26966679060127247,0.28639107223299054,0.2728233836064483,0.2727642239397817,0.9230769230769231
ALGUNA_PREGUNTA,0.11773715563906331,0.15007506820893207,0.04602491094990296,0.035358994054733195,0.13994508725149726,2.9039564785771774,1.6083740782792522,1.2562225393837212,1.3066139059295845,0.06433978285053138,0.07054171696347775,0.018328922477582908,0.010771672467205454,0.051804569087541295,1.3535668206956581,0.7713075189601941,0.6156268035926872,0.7245967275434364,0.03154422051361673,0.03767863400393083,0.013787177625182752,0.014414238561709768,0.05120542149929887,0.2872286853154714,0.5697636950050867,0.5704225815845707,0.5938675246434241,0.07054919387564648,0.07916186596011693,0.026365385989010982,0.01782057408987746,0.05848618379758399,1.4365805343902198,0.8478567734693291,0.6758741678380942,0.7946701063761807,0.03231277179556228,0.0212535928304967,0.018207790512682148,0.012849293597367663,0.027589800485110647,1.5306682547211536,0.4129216714781526,0.33557149869471004,0.21993410800311095,0,0,0,0,0,0,0,0,0,0.17017555732567502,0.26137082448913207,0.07876615441715269,0.06895462959165954,0.269383334023448,3.126506840773771,3.037135009934381,3.0660230624131306,2.911864896661323,0.17007747850798585,0.24586342962735183,0.16627373838527273,0.1103229237787002,0.19829052822145862,3.1138389473221273,2.795774897175701,1.8784986542105138,2.1905493211740126,0.020224203423633538,0.028483541684956554,0.008291332981459188,0.006112521603217657,0.022551870239059475,0.1801111652653562,0.2897663170227798,0.2631377843101293,0.25462433490032416,0.01437973325597808,0.020681468477482697,0.010593126185233184,0.008969886380717829,0.01726671882467792,0.26186616784097544,0.19265977102666226,0.13913013271478822,0.1539280058815962,0.8769230769230769
ALGUNA_PREGUNTA,0.1443186378886852,0.15378252929915304,0.04850293682582941,0.03458774544405421,0.13740672623369582,2.7232286626327755,1.6067920171093348,1.1599263855784647,1.195966750864629,0.07533327336838078,0.07548264765068914,0.022309224801540295,0.01542879055680631,0.06490812799319894,1.3885020940677208,0.9222346853586422,0.7365460159828735,0.7795887293333389,0.047507696768352946,0.06881995947821694,0.015238305757918113,0.011917558744531896,0.041139189539495934,0.5568191524878694,0.5821439155231973,0.5758181680041888,0.6089649491922785,0.07925997239544016,0.08417087212370403,0.023019903432024702,0.017044113769775212,0.06591578679375536,1.387539203136016,0.9400215363576656,0.7758585586945772,0.816339595625819,0.023914872690918264,0.009942876328006934,0.026023879544800215,0.012559531619089848,0.08351157727900536,0.8069084407430445,0.4529939018840911,0.21466976086944223,0.2540649021967539,0,0,0,0,0,0,0,0,0,0.22402063556602902,0.24231736965549308,0.10973581730862161,0.07010259851110931,0.2706564907817962,3.1247262685313264,2.9933984246692726,2.8531198733557614,2.774506752665865,0.1894169513872558,0.20684466214434,0.0742943732249724,0.07209581578524035,0.23477443334188333,3.100065660869452,3.038014380094249,2.9833809789988672,2.9010585855075393,0.02521366141904394,0.03389035777682589,0.011390091752927834,0.005535778491504254,0.020751853166010734,0.2995901059413215,0.3511540319703496,0.2549751481690769,0.24898925486084994,0.012794445939184577,0.01334841333289665,0.0054197043086747524,0.0056873004785594075,0.012729311090822622,0.20214948585781525,0.19981566234596057,0.19509156303532862,0.2061760385550782,0.9846153846153847
ALGUNA_PREGUNTA,0.12930545229731563,0.11871122773661946,0.04358264464492157,0.03826388395562558,0.09393312018954035,2.706294473175233,2.1789496022391437,2.0862082349789772,2.17605989559983,0.0920185396023944,0.09998159055246587,0.030912788351552003,0.030579117593825752,0.07750774202900139,2.629365918510378,2.0977542728155805,1.9661451054033836,2.2722537397709353,0.035824120156933745,0.06019968340494244,0.012795152586520721,0.015442275276605247,0.032707834378263335,0.3891974913414486,0.4125128378994887,0.49010495243642505,0.4889353485909089,0.05481650062639011,0.06281195224787059,0.013052981436437109,0.021821783275465054,0.03353641319748523,0.6829748408947509,0.5479456311618496,0.5382246845284844,0.5625117400749056,0.020158741987348898,0.019992585011041664,0.01594275888936395,0.019281477019459085,0.03548364308025993,0.7861346745699829,0.4767122120857572,0.3010591618329625,0.34266366766888834,0,0,0,0,0,0,0,0,0,0.20902153863541112,0.2084981675668152,0.06937126970326414,0.08450139842703175,0.20112685133710734,3.1254383037918863,2.9038194964591604,2.8431620166934857,2.766937840349782,0.212570610348647,0.2269937132447886,0.07916656223802626,0.10170424666876494,0.21742663950124821,3.0858320187466766,2.707193679889354,2.715349963579502,2.866590254821686,0.012222959722796425,0.01170047415598042,0.0052341145345174015,0.004303175282005015,0.013240193606274417,0.1672190166326668,0.23283108765473445,0.26078383154969537,0.27662219058928267,0.04058759007144738,0.045460417494109326,0.0075286168040002415,0.015586839823641008,0.020405722775197165,0.36650384584715096,0.2921730202538927,0.32347309342135394,0.3003110017980351,0.9692307692307692
